
country,area,two_thousand_area,two_thousand_percent,two_thousand_ten_area,two_thousand_ten_percent,delta_area,delta_percent
Sweden,45004558,27883714,61.957533279184744,29064876,64.58207188702976,-1181162,-2.6245386078450097
Switzerland,4124550,1544418,37.44452122049678,1554423,37.68709313743317,-10005,-0.24257191693639307
Syria,18691798,105940,0.5667726561136601,116470,0.6231075255574664,-10530,-0.056334869443806314
São Tomé and Príncipe,100218,14214,14.183080883673592,14213,14.182083058931529,1,0.0009978247420623042
Taiwan,3640651,2342181,64.33412595714339,2276151,62.52043933900833,66030,1.8136866181350533
Tajikistan,14211295,60257,0.4240078050592856,31673,0.22287201834878526,28584,0.20113578671050034
Tanzania,94057691,26406466,28.0747546737034,24703916,26.264642197095824,1702550,1.810112476607575
Thailand,51405449,19962441,38.833317067223746,19272251,37.49067730154443,690190,1.3426397656793154
Timor-Leste,1491565,726234,48.68939670748509,692839,46.450473160740565,33395,2.2389235467445268
Togo,5699519,558804,9.804406301654579,599793,10.523572252325152,-40989,-0.7191659506705741
Trinidad and Tobago,515900,391844,75.95347935646443,383300,74.29734444659817,8544,1.6561349098662532
Tunisia,15486458,223828,1.4453143514159275,169253,1.0929096892265489,54575,0.3524046621893786
Turkey,78070341,10060828,12.886875952034076,8957674,11.473850229500087,1103154,1.4130257225339902
Turkmenistan,48959210,10177,0.02078669161532631,7564,0.015449595694048168,2613,0.0053370959212781415
Turks and Caicos Islands,99152,10851,10.943803453283847,11082,11.176779086654832,-231,-0.23297563337098595
Tuvalu,50,0,0,0,0,0,0
Uganda,24143953,7764959,32.16109226190094,6926895,28.689978811671807,838064,3.471113450229132
Ukraine,60136110,11133285,18.513477177023923,11363523,18.89633865575941,-230238,-0.38286147873548854
United Arab Emirates,7120448,0,0,0,0,0,0
United Kingdom,24548498,3695599,15.054277455182797,5005122,20.388709728798887,-1309523,-5.3344322736160885
United States,947295611,279376628,29.492021788750797,271962125,28.70931965080117,7414503,0.782702137949629
United States Minor Outlying Islands,542,146,26.937269372693727,74,13.653136531365314,72,13.284132841328413
Uruguay,17746574,1697322,9.56422349463057,2119109,11.940947024479204,-421787,-2.3767235298486344
Uzbekistan,44755388,106176,0.23723624069575713,74271,0.16594873448533168,31905,0.07128750621042544
Vanuatu,1231886,1181152,95.88159943371383,1148003,93.19068485233211,33149,2.6909145813817186
Vatican City,53,5,9.433962264150944,6,11.320754716981131,-1,-1.8867924528301887
Venezuela,91249226,56533525,61.955073460020365,57273646,62.76617184676174,-740121,-0.8110983867413846
Vietnam,32927600,16551332,50.26583170349494,16371754,49.72045943220885,179578,0.5453722712860943
Virgin Islands U.S.,36214,18998,52.46037444082399,18647,51.49113602474181,351,0.9692384160821782
Western Sahara,26732060,0,0,0,0,0,0
Yemen,45220898,126,0.0002786322376879822,147,0.0003250709439693126,-21,-0.00004643870628133037
Zambia,75049202,24050819,32.046735153826155,22436285,29.895434464446403,1614534,2.1513006893797484
Åland,150643,107727,71.51145423285516,103074,68.42269471532033,4653,3.088759517534834
